Filename,Name,Award,Photo ID,Nationality,Bio,Profile Link Type,Profile Link,Title,Caption
PROJECTS/2 Runner Up - Feli Hansen/ 2 Runner Up-Feli Hansen-304_58977_403.jpg,Feli Hansen,"('Projects,  Runner Up',)",58977,"Delft, The Netherlands","Plastic pollution is everywhere. Yet, somehow, remains unseen by many. But plastic pollution doesn’t just mar our landscapes; it poisons them. With this series I wanted to make the invisible visible again, so it cannot be longer ignored. We must act now, to preserve the beauty and vitality of our planet.",Website,fhcs.nl/en/guiltytrashures,Guilty Trashures,"Plastic pollution is everywhere. Yet, somehow, remains unseen by many. But plastic pollution doesn’t just mar our landscapes; it poisons them. With this series I wanted to make the invisible visible again, so it cannot be longer ignored. We must act now, to preserve the beauty and vitality of our planet."
SPECIALS/Woodland/1 Winner-Kenny Muir-973_57958_379.jpg,Kenny Muir,"('Woodland, Winner',)",57958,"Inverness, Scotland",A dead Scots pine tree can remain upright for many decades as its high resin content and dense heartwood provide resistance to decay. This photograph was captured in Scotland's ancient Caledonian Forest during an exceptionally cold start to winter. The backlit frost on the pine snag made it a striking presence against the frozen woodland beyond.,Website,kennymuir.com,Remnant of time,A dead Scots pine tree can remain upright for many decades as its high resin content and dense heartwood provide resistance to decay. This photograph was captured in Scotland's ancient Caledonian Forest during an exceptionally cold start to winter. The backlit frost on the pine snag made it a striking presence against the frozen woodland beyond.
SPECIALS/Desert Landscapes/2 Runner Up-John Meragias-2263_55715_3622.jpg,John Meragias,"('Desert Landscapes, Runner Up',)",55715,"Montreal, Canada",This black and white photo of Deadvlei was taken from an open door helicopter. The trees of Deadvlei are hundreds of years old and have also been dead for hundreds of years. They are now monuments to their own destruction and these two look like they will be together forever. ,Website,jmeragiasphoto.com,Alone Together,This black and white photo of Deadvlei was taken from an open door helicopter. The trees of Deadvlei are hundreds of years old and have also been dead for hundreds of years. They are now monuments to their own destruction and these two look like they will be together forever. 
MAIN CATEGORIES/Abstract Landscapes/2 Runner Up-Alex Pansier-7375_53123_5737.jpg,Alex Pansier,"(' Abstract and Details, Runner Up',)",53123,The Netherlands,"Captured in April 2024 over Iceland’s frozen waters, this aerial view reveals drifting ice formations. Viewed from above, a rock, eerily resembling a face, appears trapped among other shards. This scene invites viewers to find beauty and meaning in nature’s abstract, ephemeral patterns.",Website,https://alexpansier.com,Trapped in Ice,"Captured in April 2024 over Iceland’s frozen waters, this aerial view reveals drifting ice formations. Viewed from above, a rock, eerily resembling a face, appears trapped among other shards. This scene invites viewers to find beauty and meaning in nature’s abstract, ephemeral patterns."
MAIN CATEGORIES/Grand Landscape/3 Third Place-Gunar Streu-8202_53855_2028.jpg,Gunar Streu,"(' Grand Scenic, Third Place',)",53855,"Hedmark, Norway",Blizzard along the coastline on Söröya Island in the most northern part of Norway. It became difficult to take photos because of the cold and stormy weather so I took only a few exposures. I tried to capture the harsh conditions you can find in Arctic regions.,No,No,Snowy weather,Blizzard along the coastline on Söröya Island in the most northern part of Norway. It became difficult to take photos because of the cold and stormy weather so I took only a few exposures. I tried to capture the harsh conditions you can find in Arctic regions.
PROJECTS/5 Fifth Place - Joshua Wallace/ 5 Fifth Place-Joshua Wallace-9526_66283_6259.jpg,Joshua Wallace,"('Projects,  Fifth Place',)",66283,"Washington, USA",Reptiles and Amphibians are fantastic animals with breathtaking adaptations in order to call all of the diverse landscapes and habitats of our incredible planet home. However they live cryptic secretive lives hidden from all but the most curious eyes.,Website,www.wildwallace.com,Realms of Reptiles and Amphibians ,Reptiles and Amphibians are fantastic animals with breathtaking adaptations in order to call all of the diverse landscapes and habitats of our incredible planet home. However they live cryptic secretive lives hidden from all but the most curious eyes.
SPECIALS/Rocks and Geology/1 Winner-Spencer Cox-5472_54962_2745.jpg,Spencer Cox,"('Rocks and Geology, Winner',)",54962,"Colorado, USA","The enigmatic patterns of these marble caves struck me as telling a story of creation: growing trees, ancient mountains, swirling galaxies. After taking this photo, I learned that that the marble in this scene was only saved from mining because it is considered ""low quality."" I wonder, then, how many other remarkable scenes have vanished in service of our countertops?",Instagram,spencercoxphoto,Creation of Earth,"The enigmatic patterns of these marble caves struck me as telling a story of creation: growing trees, ancient mountains, swirling galaxies. After taking this photo, I learned that that the marble in this scene was only saved from mining because it is considered ""low quality."" I wonder, then, how many other remarkable scenes have vanished in service of our countertops?"
"00 Photograph of the Year, Winner - Margrit Schwarz - 23656__3690__65632.jpg",Margrit Schwarz,"(' Abstract and Details, Photograph of the Year, Winner',)",65632,"Basel, Switzerland","I made this photograph on the final morning of a twelve-day raft trip on the Colorado River. The Grand Canyon’s immensity was overwhelming, yet what captivated me most were the ancient layers of stone, shaped by time and water into abstract forms alive with mystery. For me, ""Eye of the Canyon"" remains an open invitation to explore, and to return - again and again.",Instagram,@margritschwarz,Eye of the Canyon,"I made this photograph on the final morning of a twelve-day raft trip on the Colorado River. The Grand Canyon’s immensity was overwhelming, yet what captivated me most were the ancient layers of stone, shaped by time and water into abstract forms alive with mystery. For me, ""Eye of the Canyon"" remains an open invitation to explore, and to return - again and again."
SPECIALS/Seascapes/3 Third Place-Robert Birkby-5443_55893_3445.jpg,Robert Birkby,"('Seascapes, Third Place',)",55893,"Yorkshire, UK","A photograph captured at the end of a summer's day on the Isle of Harris, Scotland. The light was fading and a long exposure time of two minutes was used to smooth the ocean and clouds, which seemed to complement each other perfectly. ",Website,robertbirkbyphotography.co.uk,Curves,"A photograph captured at the end of a summer's day on the Isle of Harris, Scotland. The light was fading and a long exposure time of two minutes was used to smooth the ocean and clouds, which seemed to complement each other perfectly. "
MAIN CATEGORIES/Abstract Landscapes/1 Winner-Ilan Shacham-279_54673_972.jpg,Ilan Shacham,"(' Abstract and Details, Winner',)",54673,"Modi'in, Israel","The Dead sea is a lake about 10 times more saline than the ocean. I am always fascinated by all the different types of salt formations, that have been created by various crystallization conditions.
In this photo we can sea ""pearls"" of salt, on a hardened bed of salt, with ridges of salt running randomly through the scene, all this side lit by the early morning sun.",Website,http://IlanShacham.com,Salty Pearls,"The Dead sea is a lake about 10 times more saline than the ocean. I am always fascinated by all the different types of salt formations, that have been created by various crystallization conditions.
In this photo we can sea ""pearls"" of salt, on a hardened bed of salt, with ridges of salt running randomly through the scene, all this side lit by the early morning sun."
SPECIALS/In Your Backyard/2 Runner Up-Anton Gorlin-341_56761_143.jpg,Anton Gorlin,"('In Your Backyard, Runner Up',)",56761,"Gold Coast, QLD, Australia","I like finding the unusual in the mundane, whether it’s pareidolia or a sudden metaphor. In this case, it wasn’t just an old tree. The moment I saw it, I saw Jabba, slouching into the landscape like he'd always been there.",Website,antongorlin.com,Jabba the Hutt,"I like finding the unusual in the mundane, whether it’s pareidolia or a sudden metaphor. In this case, it wasn’t just an old tree. The moment I saw it, I saw Jabba, slouching into the landscape like he'd always been there."
SPECIALS/Desert Landscapes/1 Winner-Louis Ouimet-6253_63587_3526.jpg,Louis Ouimet ,"('Desert Landscapes, Winner',)",63587,"Alberta, Canada ","You usually don't go to sand dunes to get snow photos, but after heavy dump of snow at the Great Sand Dunes National Park that was unexpectedly what I was gifted!",Instagram,www.instagram.com/wemetimages,Unexpected ,"You usually don't go to sand dunes to get snow photos, but after heavy dump of snow at the Great Sand Dunes National Park that was unexpectedly what I was gifted!"
SPECIALS/In Your Backyard/1 Winner-Patrick Krohn-2841_58639_1482.jpg,Patrick Krohn,"('In Your Backyard, Winner',)",58639,"South Carolina, USA","The roots of this pine tree were exposed after it was toppled when Hurricane Helene hit South Carolina with wind gusts over 70 mph in late September 2024. Thousands of healthy trees were delimbed or uprooted, and cleanup efforts of the wreckage took months. Evident that this image was taken in January 2025, and this tree was finally removed in February – five months after the storm.",Website,one-eyeddogstudios.com,Emerging From the Wreckage  ,"The roots of this pine tree were exposed after it was toppled when Hurricane Helene hit South Carolina with wind gusts over 70 mph in late September 2024. Thousands of healthy trees were delimbed or uprooted, and cleanup efforts of the wreckage took months. Evident that this image was taken in January 2025, and this tree was finally removed in February – five months after the storm."
PHOTOGRAPHER OF THE YEAR/1 Winner - Joy Kachina/1-Joy Kachina-0634_60235_4360.jpg,Joy Kachina,"('Photographer of the Year,  Winner',)",60235,Tasmania Australia,"A blackwood tree native to the region is silhouetted by the rising sun in Meander Valley, Northern Tasmania. As sunlight touches the leaves, transpiration takes place.",Instagram,Joy Kachina Photography,Transpiration,"A blackwood tree native to the region is silhouetted by the rising sun in Meander Valley, Northern Tasmania. As sunlight touches the leaves, transpiration takes place."
SPECIALS/Desert Landscapes/3 Third Place-Prajit Ravindran-824_61051_428.jpg,Prajit Ravindran,"('Desert Landscapes, Third Place',)",61051,"Salt Lake City, Utah","In January of this year, I had planned a trip to Bryce Canyon. There was no forecast of snow, but I hoped for fog instead and went anyway. On this freezing morning, I was greeted with snow flurries instead. As I was photographing this magical scene, I heard the words - ""I guess we are the only crazy ones to be around here this morning"" from the only other person I saw that morning, who happened to be a landscape photographer too.",Instagram,@irockutah,Snow Globe,"In January of this year, I had planned a trip to Bryce Canyon. There was no forecast of snow, but I hoped for fog instead and went anyway. On this freezing morning, I was greeted with snow flurries instead. As I was photographing this magical scene, I heard the words - ""I guess we are the only crazy ones to be around here this morning"" from the only other person I saw that morning, who happened to be a landscape photographer too."
MAIN CATEGORIES/Abstract Landscapes/4 Highly Commended-Scott Oller-5731_64157_1375.jpg,Scott Oller,"(' Abstract and Details, Highly Commended',)",64157,"San Francisco, USA","I visited a towering waterfall, far off-trail up a seldom-visited gorge in Yosemite. Most of the waterfall was in shadow, but a ray of light met the mist in just the right place for a shimmering rainbow to appear. As I photographed it, the prismatic spray drifted from side to side in the wind.",Website,https://scottoller.com,"Illilouette Spirit, Yosemite National Park.","I visited a towering waterfall, far off-trail up a seldom-visited gorge in Yosemite. Most of the waterfall was in shadow, but a ray of light met the mist in just the right place for a shimmering rainbow to appear. As I photographed it, the prismatic spray drifted from side to side in the wind."
SPECIALS/Mountains/2 Runner Up-Scott Oller-5731_64172_1375.jpg,Scott Oller,"('Mountains, Runner Up',)",64172,"San Francisco, USA","I love the thrill of watching the sunset from high on a remote mountain, knowing that a long descent in the dark awaits. This distant view of Cloud’s Rest, framed by a glowing ridgeline, caught my eye with its vibrant colors and angular lines.",Website,scottoller.com,Last Light on Cloud’s Rest,"I love the thrill of watching the sunset from high on a remote mountain, knowing that a long descent in the dark awaits. This distant view of Cloud’s Rest, framed by a glowing ridgeline, caught my eye with its vibrant colors and angular lines."
PHOTOGRAPHER OF THE YEAR/4 Fourth Place - Scott Oller/4-Scott Oller-5731_64156_1375.jpg,Scott Oller,"('Photographer of the Year,  Fourth Place',)",64156,"San Francisco, USA","I love the challenge of finding unique perspectives in one of the most photographed places on earth: Yosemite National Park. My approach to landscape photography focuses on subject depth, rather than breadth. By returning again and again to the same beloved place, I continually discover new ways to express my personal vision of Yosemite.",Website,scottoller.com,n/a - photographer of the year 4th place award,"I love the challenge of finding unique perspectives in one of the most photographed places on earth: Yosemite National Park. My approach to landscape photography focuses on subject depth, rather than breadth. By returning again and again to the same beloved place, I continually discover new ways to express my personal vision of Yosemite."
SPECIALS/Frozen Worlds/3 Third Place-Pal Hermansen-6573_59066_3756.jpg,Pål Hermansen,"('Frozen Worlds, Third Place',)",59066,"Ski, near Oslo, Norway","The low winter light plays over the ice surface, revealing an otherwise unseen world. .",Website,palhermansen.com,Light play over the lake,"The low winter light plays over the ice surface, revealing an otherwise unseen world. ."
MAIN CATEGORIES/Abstract Landscapes/3 Third Place-Lukas Furlan-5185_54046_5815.jpg,Lukas Furlan,"(' Abstract and Details, Third Place',)",54046,"Vienna, Austria","Taken on an early morning in South Tyrol, this image captures the intricate patterns formed within a small mountain stream. Instead of looking up at the towering peaks, I became absorbed in the stream’s luminous structures—where flowing water, light, and color intertwined into abstract forms. What unfolded felt like a hidden landscape within the landscape, alive with movement and quiet intensity.",Instagram,furlanlukas,Electric Currents,"Taken on an early morning in South Tyrol, this image captures the intricate patterns formed within a small mountain stream. Instead of looking up at the towering peaks, I became absorbed in the stream’s luminous structures—where flowing water, light, and color intertwined into abstract forms. What unfolded felt like a hidden landscape within the landscape, alive with movement and quiet intensity."
MAIN CATEGORIES/Abstract Landscapes/4 Highly Commended-Lukas Furlan-5185_58601_5815.jpg,Lukas Furlan,"(' Abstract and Details, Highly Commended',)",58601,"Vienna, Austria","Taken along Spain’s rugged coastline during sunset, this photograph captures a striking rock face that seems to echo the sunset itself.",Instagram,furlanlukas,Sunset Cliff,"Taken along Spain’s rugged coastline during sunset, this photograph captures a striking rock face that seems to echo the sunset itself."
PROJECTS/4 Fourth Place - Lukas Furlan/ 4 Fourth Place-Lukas Furlan-5185_54032_5815.jpg,Lukas Furlan,"('Projects,  Fourth Place',)",54032,"Austria, Vienna","In winter’s muted forest, vibrant clusters of mistletoe stand out like otherworldly green orbs. The project captures their surreal beauty and resilient presence against the quiet desolation of the season.",Instagram,furlanlukas,Among Bare Branches,"In winter’s muted forest, vibrant clusters of mistletoe stand out like otherworldly green orbs. The project captures their surreal beauty and resilient presence against the quiet desolation of the season."
SPECIALS/Frozen Worlds/2 Runner Up-Rupert Kogler-7816_63311_6187.jpg,Rupert Kogler,"('Frozen Worlds, Runner Up',)",63311,Austria,"Areas where sun and fog merge are always worth a closer look, especially in the woods. This particular day I just went out to a forest close to my hometown and I was lucky enough to experience these conditions, but not enough of that, the sun was already very low and the light was warm. But the most mesmerizing thing actually was, that the sun melted the hoar frost in the tree tops and these particles of ice finally fell down as a glittering curtain from time to time.",Instagram,@rupertkoglerphotography,Heat of Hoar,"Areas where sun and fog merge are always worth a closer look, especially in the woods. This particular day I just went out to a forest close to my hometown and I was lucky enough to experience these conditions, but not enough of that, the sun was already very low and the light was warm. But the most mesmerizing thing actually was, that the sun melted the hoar frost in the tree tops and these particles of ice finally fell down as a glittering curtain from time to time."
SPECIALS/In Your Backyard/3 Third Place-Jack Krohn-5391_65811_1935.jpg,Jack Krohn,"('In Your Backyard, Third Place',)",65811,"Washington, USA","This image is from a memorable outing to a local park, where I often take our dog for exercise and enjoy exploring as the seasons change. During a cold snap in January, the shallow pond that forms during winter rains froze over, creating irresistible conditions we don't often see in the lowlands of Puget Sound, including this scene of leaves encased in ice. I felt that the reflections of the surrounding bushes and sky added interesting structure and an unexpected color palette, while the complex ice textures contributed a sense of impressionism to the image.",Website,jackkrohn.myportfolio.com,Cling,"This image is from a memorable outing to a local park, where I often take our dog for exercise and enjoy exploring as the seasons change. During a cold snap in January, the shallow pond that forms during winter rains froze over, creating irresistible conditions we don't often see in the lowlands of Puget Sound, including this scene of leaves encased in ice. I felt that the reflections of the surrounding bushes and sky added interesting structure and an unexpected color palette, while the complex ice textures contributed a sense of impressionism to the image."
SPECIALS/Mountains/1 Winner-Ross Davidson-8393_59594_3938.jpg,Ross Davidson,"('Mountains, Winner',)",59594,"The Lake District, UK","The view from 'The Fiddler' is arguably one of the greatest in Scotland, with the excellent vantage point of the spectacular, monolithic peaks that rise abruptly from the expansive landscape of Assynt and Coigach. The image was my attempt at creating an intricate, detailed and unique composition at what is a relative 'classic'  - as far as mountain photography in Scotland is concerned, at least! Hopefully, you agree that I have achieved that.",Website,rossdavidsonphoto.co.uk,"Allure' - Sgurr an Fhidhleir, Coigach, Scotland","The view from 'The Fiddler' is arguably one of the greatest in Scotland, with the excellent vantage point of the spectacular, monolithic peaks that rise abruptly from the expansive landscape of Assynt and Coigach. The image was my attempt at creating an intricate, detailed and unique composition at what is a relative 'classic'  - as far as mountain photography in Scotland is concerned, at least! Hopefully, you agree that I have achieved that."
SPECIALS/Woodland/2 Runner Up-Franka Gabler-787_60086_787.jpg,Franka Gabler,"('Woodland, Runner Up',)",60086,"California, USA","The first kiss of morning light reaches the tree tops in Yosemite Valley. A veil of meadow mist drifts gently through the meadow, wrapping the trees in silence.",Website,frankagabler.com,"First Light & Meadow Mist, Yosemite Valley","The first kiss of morning light reaches the tree tops in Yosemite Valley. A veil of meadow mist drifts gently through the meadow, wrapping the trees in silence."
SPECIALS/Tropical Landscapes/1 Winner-Grégoire Pansu-7916_64433_6197.jpg,Grégoire Pansu,"('Tropical Landscapes, Winner',)",64433,"The Alps, France","I captured this image in northern Tenerife, at a location I had long hoped to revisit after a first attempt years before, when conditions weren’t ideal. This time, the clouds parted at just the right moment—only for a few fleeting minutes—allowing me to frame the sharp cliffs through the stems of a solitary cardón cactus.",Website,gregoirepansu.com,Golden shores,"I captured this image in northern Tenerife, at a location I had long hoped to revisit after a first attempt years before, when conditions weren’t ideal. This time, the clouds parted at just the right moment—only for a few fleeting minutes—allowing me to frame the sharp cliffs through the stems of a solitary cardón cactus."
SPECIALS/Tropical Landscapes/3 Third Place-Grégoire Pansu-7916_64429_6197.jpg,Grégoire Pansu,"('Tropical Landscapes, Third Place',)",64429,"The Alps, France","The small corollas clinging to the flower stems reminded me of jewels, so delicate and colorful, displaying shades ranging from pure white to deep purple. I particularly loved the composition as these well aligned floral stems echo the pointed peaks in the background, creating harmony between the foreground and the horizon.",Instagram,gregoirepansu.com,Towers of Jewels,"The small corollas clinging to the flower stems reminded me of jewels, so delicate and colorful, displaying shades ranging from pure white to deep purple. I particularly loved the composition as these well aligned floral stems echo the pointed peaks in the background, creating harmony between the foreground and the horizon."
MAIN CATEGORIES/Grand Landscape/2 Runner Up-Samuel Markham-8912_55553_2198.jpg,Samuel Markham,"(' Grand Scenic, Runner Up',)",55553,"Parma, NSW, Australia ",Taken deep within the wilderness of Tasmania's Southwest National Park (Australia). The sun broke through thick clouds for a brief moment illuminating the vast rugged landscape. ,https://www.samuelmarkham.photography/home,@samuel.markham,Gateway To God,Taken deep within the wilderness of Tasmania's Southwest National Park (Australia). The sun broke through thick clouds for a brief moment illuminating the vast rugged landscape. 
MAIN CATEGORIES/Grand Landscape/4 Highly Commended-Joshua Cripps-2501_58913_1052.jpg,Joshua Cripps,"(' Grand Scenic, Highly Commended',)",58913,"Bishop, California","I took this photo while flying over New Zealand's Fiordland National Park, one of the most spectacular landscapes on Earth. I shot it in hazy, late afternoon light, the layers of the fjords stretching off toward the horizon. As our plane flew over the top of this ridge, I saw this gorgeous lake nestled in the top of the mountains and couldn't press the shutter button fast enough.",Website,joshuacripps.com,Hidden Gem,"I took this photo while flying over New Zealand's Fiordland National Park, one of the most spectacular landscapes on Earth. I shot it in hazy, late afternoon light, the layers of the fjords stretching off toward the horizon. As our plane flew over the top of this ridge, I saw this gorgeous lake nestled in the top of the mountains and couldn't press the shutter button fast enough."
SPECIALS/Mountains/3 Third Place-Lukáš Veselý-2563_60354_3652.jpg,Lukáš Veselý,"('Mountains, Third Place',)",60354,"Prague, Czechia","This is the one of the most majestic places in Lofoten/Norway, but luckily it is not direct by the road so hardly anyone knows it. If I ever go to Lofoten again, it will be for laces like this.",Website,lukasvesely.com,Granite scene,"This is the one of the most majestic places in Lofoten/Norway, but luckily it is not direct by the road so hardly anyone knows it. If I ever go to Lofoten again, it will be for laces like this."
SPECIALS/Mountains/3 Third Place-Lukáš Veselý-2563_60354_3652.jpg,Lukáš Veselý,"('Mountains, Third Place',)",60354,"Prague, Czechia","This is the most majestic places in Lofoten, Norway but it is not right by the road so hardly anyone knows it. ",Website,lukasvesely.com,Granite scenes,"This is the most majestic places in Lofoten, Norway but it is not right by the road so hardly anyone knows it. "
MAIN CATEGORIES/Intimate Landscape/3 Third Place-Jude Dizon-1281_62740_1821.jpg,Jude Dizon,"(' Intimate Landscape, Third Place',)",62740,"Virginia, USA","A simple image with passing time represented by the mist. Time, much like mist, is unstoppable. ",Website,www.judedizon.com,Passing,"A simple image with passing time represented by the mist. Time, much like mist, is unstoppable. "
SPECIALS/Rocks and Geology/2 Runner Up-Doug Hammer-8492_55742_2948.jpg,Doug Hammer,"('Rocks and Geology, Runner Up',)",55742,"California, USA","Exploring the reflected light and shadow on the unique patterns of the soft clay walls, Doug beautifully displays the wonder of this gorge. Sadly, he passed away in July 2025 before learning of the contest results. He would have been incredibly honored to know his work was included with this year's winners.",Website,doughammerphotography,Cathedral Gorge State Park,"Exploring the reflected light and shadow on the unique patterns of the soft clay walls, Doug beautifully displays the wonder of this gorge. Sadly, he passed away in July 2025 before learning of the contest results. He would have been incredibly honored to know his work was included with this year's winners."
SPECIALS/Seascapes/2 Runner Up-Philipp Jakesch-79_57452_97.jpg,Philipp Jakesch,"('Seascapes, Runner Up',)",57452,Austria,"I had to stop the car—the landscape was just too incredible to pass up. The soft, wet snow in the foreground made for a challenging shot, but I loved carefully lining up the beautiful, branching puddle with the famous Icelandic landmark far in the distance.",Website,jakesch.photography,On a quiet winter morning,"I had to stop the car—the landscape was just too incredible to pass up. The soft, wet snow in the foreground made for a challenging shot, but I loved carefully lining up the beautiful, branching puddle with the famous Icelandic landmark far in the distance."
PHOTOGRAPHER OF THE YEAR/3 Third Place - Matt Jackisch/3-Matt Jackisch-076_53924_670.jpg,Matt Jackisch,"('Photographer of the Year,  Third Place',)",53924,"Vancouver, Canada","Peru is home to some of the most beautiful and photogenic mountains on the planet. In 2024, I hired a mountain guide, took a climbing course, and got as high as I could to become more intimately acquainted with these peaks. Here are the results. ",Website,mattjackischphotography.com,Mountains of Peru,"Peru is home to some of the most beautiful and photogenic mountains on the planet. In 2024, I hired a mountain guide, took a climbing course, and got as high as I could to become more intimately acquainted with these peaks. Here are the results. "
